"","Non-tumor","Tumor","tot","labs","cell_type_secondary"
"Alv 1",0.0588793922127255,0.941120607787274,1,0.941120607787274,"Alv 1"
"Alv-Basal",0.0949589683470106,0.905041031652989,1,0.905041031652989,"Alv-Basal"
"Alv 2",0.131808278867102,0.868191721132898,1,0.868191721132898,"Alv 2"
"Alv-Proliferating",0.192118226600985,0.807881773399015,1,0.807881773399015,"Alv-Proliferating"
"Basal",0.211764705882353,0.788235294117647,1,0.788235294117647,"Basal"
"Alv 3",0.463302752293578,0.536697247706422,1,0.536697247706422,"Alv 3"
"Alv 4",0.478102189781022,0.521897810218978,1,0.521897810218978,"Alv 4"
"Undefined Alv",0.794273594909862,0.205726405090138,1,0.205726405090138,"Undefined Alv"
"Hormone Sensing",0.879668049792531,0.120331950207469,1,0.120331950207469,"Hormone Sensing"
"Fibroblast",0.98811013767209,0.0118898623279099,1,0.0118898623279099,"Fibroblast"
"CD8+ Proliferating",0.98921832884097,0.0107816711590297,1,0.0107816711590297,"CD8+ Proliferating"
"CD8+ Ex",0.98995983935743,0.0100401606425703,1,0.0100401606425703,"CD8+ Ex"
"CD8+ Progenitor Ex",0.990791896869245,0.00920810313075507,1,0.00920810313075507,"CD8+ Progenitor Ex"
"Macrophage",0.992462311557789,0.00753768844221105,1,0.00753768844221105,"Macrophage"
"NK",0.994764397905759,0.00523560209424084,1,0.00523560209424084,"NK"
"CD8+ ISG",0.995833333333333,0.00416666666666667,1,0.00416666666666667,"CD8+ ISG"
"Neutrophil",0.996556473829201,0.0034435261707989,1,0.0034435261707989,"Neutrophil"
"CD8+ Effector",0.996627318718381,0.00337268128161889,1,0.00337268128161889,"CD8+ Effector"
"CD8+ Na誰ve",0.999231950844854,0.000768049155145929,1,0.000768049155145929,"CD8+ Na誰ve"
"CD8+ CM",0.999447208402432,0.000552791597567717,1,0.000552791597567717,"CD8+ CM"
"CD4+ Na誰ve",0.999651810584958,0.000348189415041783,1,0.000348189415041783,"CD4+ Na誰ve"
"CD8+ TRM",1,0,1,0,"CD8+ TRM"
"CD4+ Treg",1,0,1,0,"CD4+ Treg"
"B cell",1,0,1,0,"B cell"
