"","name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"RANKL","RANKL",0,0,"Early",Inf,0
"NT","NT",0,0,"Early",Inf,0
"VCAM","VCAM",0.0226744517804918,0.264094982927284,"Early",7.33,0.0001220703125
"BMP","BMP",0.0110826352971688,0.222104961501181,"Early",5.39,0.13525390625
"NCAM","NCAM",0.0453947784785258,0.323377803572556,"Early",2.83,7.45058059692384e-09
"PERIOSTIN","PERIOSTIN",0.0145082935426435,0.236237130435693,"Early",2.42,0.000123336911201477
"L1CAM","L1CAM",0.0692849999661158,0.37459821809006,"Early",1.86,7.92001323106177e-06
"NKG2D","NKG2D",0.0192578452309414,0.253175020024942,"Early",1.82,0.064453125
"SEMA6","SEMA6",0.0539346046400479,0.342467748242324,"Early",1.8,0.000798406819740194
"LCK","LCK",5.79493626736828,234.8821631072,"Early",1.76,4.82797965044853e-16
"GAS","GAS",0.173693515666909,0.571277448278756,"Early",1.72,7.32325133867563e-08
"KIT","KIT",0.567958521910217,1.76769988431058,"Early",1.69,1.92474912355496e-07
"MHC-I","MHC-I",173.467081834067,251.722771028094,"Early",1.49,1.47212006699312e-25
"PDL2","PDL2",0.184523895008246,0.591724270398206,"Early",1.47,0.00103816948831081
"ANGPTL","ANGPTL",0.760257240225236,3.64832444929614,"Early",1.46,4.53242135044333e-12
"SEMA3","SEMA3",0.0215747790996962,0.260672568330889,"Early",1.43,0.000789642333984375
"FN1","FN1",2.35369600567089,216.268859615686,"Early",1.38,0.0489540519454364
"CDH1","CDH1",4.04985102375986,221.586946327547,"Early",1.36,1.21374332322459e-18
"THY1","THY1",3.26461558352283,218.927902971617,"Early",1.32,0.000314483907950423
"OCLN","OCLN",0.0517228236824439,0.337626122191135,"Early",1.3,0.00135794008828766
"CDH","CDH",3.87270697246563,220.700598542237,"Early",1.28,3.04946646421368e-05
"SPP1","SPP1",37.7500010142053,246.404684316232,"Early",1.27,6.65975433870629e-21
"FGF","FGF",0.058393371114975,0.352044138529696,"Early",1.26,0.242161068789269
"TIGIT","TIGIT",0.983318577630189,59.4455246198548,"Early",1.26,1.35704135698052e-05
"SEMA5","SEMA5",0.0350831538958814,0.298504414403368,"Early",1.25,0.0601435957360083
"TENASCIN","TENASCIN",7.40135011318354,239.313902033751,"Early",1.24,5.81060795678842e-11
"OSM","OSM",0.00845171492286611,0.209494899242551,"Early",1.22,0.15625
"CADM","CADM",0.237519888246759,0.695650277375807,"Early",1.22,0.138267019630771
"MPZ","MPZ",0.880721836133909,7.87318259098059,"Early",1.21,1.45982363831982e-09
"ncWNT","ncWNT",0.796048721782636,4.38414036494536,"Early",1.15,0.00482025217967319
"CLEC","CLEC",0.887450085510823,8.37499889055031,"Early",1.14,0.00931303520389717
"APRIL","APRIL",0.0424992731926081,0.316629210558155,"Early",1.13,0.369401322677732
"CD86","CD86",0.354546831079594,0.964399354878552,"Early",1.12,0.369216918945313
"PARs","PARs",1.15898401748122,194.996512768241,"Early",1.11,0.651148299686611
"EPHA","EPHA",1.15086101771119,193.223817197621,"Early",1.1,0.00209570810585547
"HSPG","HSPG",0.120493908066948,0.472554934927757,"Early",1.09,0.119450366124511
"JAM","JAM",4.3983325681737,226.018685254098,"Early",1.09,1.24410591253652e-05
"PROS","PROS",0.130568150897908,0.491192920892056,"Early",1.06,0.521673202514648
"AGRN","AGRN",1.12384520494434,189.67842605638,"Early",1.06,0.00379334882500344
"NECTIN","NECTIN",2.03753649645117,211.837120689135,"Early",1.05,0.704075791389086
"COLLAGEN","COLLAGEN",45.6786225231766,248.177379886853,"Early",1.04,0.316878101687102
"PVR","PVR",0.289950933130714,0.807726017989312,"Early",1.02,0.473765462029882
"GALECTIN","GALECTIN",29.1414180698059,244.631988745612,"Early",1.01,0.0395650340698343
"TRAIL","TRAIL",0.0825510603353449,0.400907933963617,"Early",1,0.0390659999436092
"SELL","SELL",0.374913663305904,1.01930615736366,"Early",1,0.479392677626955
"LT","LT",0.19053157914237,0.603159107937243,"Early",0.99,0.984093758719609
"GRN","GRN",0.734340403100102,3.23852451942584,"Early",0.99,0.789427162145522
"CD200","CD200",1.12396029566127,190.564773841691,"Early",0.98,0.727535552758264
"ACTIVIN","ACTIVIN",0.159590472758503,0.544916280052913,"Early",0.97,0.976410360440696
"SELPLG","SELPLG",4.52020785506731,227.791380824718,"Early",0.97,0.441565238029565
"ALCAM","ALCAM",1.23316109331463,199.428251694792,"Early",0.96,0.39480394707725
"CD6","CD6",1.23316109331463,200.314599480103,"Early",0.96,0.39480394707725
"SEMA4","SEMA4",6.29362174636008,236.65485867782,"Early",0.95,0.212421236914907
"EPHB","EPHB",0.242781941862345,0.706418434560226,"Early",0.94,0.560489782402783
"VISFATIN","VISFATIN",0.276749830365737,0.778427397720293,"Early",0.93,0.155502278647021
"CD96","CD96",0.388612386678038,1.05800751849755,"Early",0.93,0.379725714576128
"LAMININ","LAMININ",46.948405478053,249.063727672163,"Early",0.93,5.93665530693211e-10
"THBS","THBS",5.21210713171512,232.223119751269,"Early",0.92,0.00266010628814419
"CX3C","CX3C",0.0915335040776832,0.418226265705919,"Early",0.91,0.067626953125
"WNT","WNT",1.25674660521208,202.087295050723,"Early",0.9,0.0967707972740757
"EDN","EDN",0.000175343888940272,0.115623492194817,"Early",0.89,0.875
"CD226","CD226",0.994079567324966,168.406079208936,"Early",0.89,0.0238539900017035
"PD-L1","PD-L1",0.557107244920622,1.70940896391161,"Early",0.88,0.37413676913246
"NOTCH","NOTCH",0.481325451797938,1.36759314121722,"Early",0.87,0.0107349203660037
"CXCL","CXCL",1.50654024961151,208.291729547894,"Early",0.85,0.0013328568087168
"APP","APP",8.22481801367237,241.086597604371,"Early",0.84,1.36001939034646e-05
"TGFb","TGFb",5.04345938379835,231.336771965959,"Early",0.83,2.05047423220314e-08
"BAFF","BAFF",0.0142975403134653,0.235423308954078,"Early",0.82,0.125
"CD48","CD48",2.04205121184171,212.723468474445,"Early",0.82,0.00346772817318138
"NRG","NRG",0.437589696483724,1.209960042118,"Early",0.81,0.0328823981141616
"EGF","EGF",1.39437612379576,206.519033977274,"Early",0.81,0.030796389473835
"PECAM1","PECAM1",0.265445802763229,0.753951881087112,"Early",0.74,0.486268722407591
"CD52","CD52",1.5626863172983,209.178077333204,"Early",0.74,0.0001220703125
"CSF","CSF",0.252887360399883,0.727372652297636,"Early",0.69,0.00729560852050781
"ITGAL-ITGB2","ITGAL-ITGB2",4.22200044833463,224.245989683478,"Early",0.66,5.85105927216914e-24
"TWEAK","TWEAK",0.296757312651182,0.823153257519746,"Early",0.62,0.032201623269266
"DESMOSOME","DESMOSOME",0.0266408880206844,0.275838624603348,"Early",0.59,3.72529029846192e-08
"CD23","CD23",0.489800212157908,1.40103567101522,"Early",0.59,0.02899169921875
"PTN","PTN",7.03404196830836,238.427554248441,"Early",0.58,1.18499209858465e-14
"MIF","MIF",14.1191836947465,243.745640960302,"Early",0.58,6.30754754265953e-26
"CCL","CCL",1.84936608236588,210.950772903825,"Early",0.57,2.07068021928736e-11
"ICAM","ICAM",3.80863145717335,219.814250756927,"Early",0.57,6.75091330699607e-29
"ICOS","ICOS",0.400448822590711,1.09269399132697,"Early",0.47,0.0987396240234375
"COMPLEMENT","COMPLEMENT",0.42322228517136,1.16298307522175,"Early",0.47,0.00023631751537323
"FASLG","FASLG",0.156120378759383,0.53846587211114,"Early",0.45,0.00354371350772959
"CD40","CD40",0.143783638071141,0.515611259368366,"Early",0.39,0.0078125
"CD22","CD22",1.22653660286354,198.541903909482,"Early",0.39,0.0001220703125
"MHC-II","MHC-II",5.76670172775951,233.99581532189,"Early",0.38,5.94716150976606e-08
"LIFR","LIFR",0.0169369276094817,0.245202672533578,"Early",0.36,9.31918621063234e-05
"CD45","CD45",1.32065125291535,205.632686191964,"Early",0.36,7.45058059692384e-09
"IL16","IL16",1.4397674850639,207.405381762584,"Early",0.28,7.9633735166478e-09
"BTLA","BTLA",0.0320250629491747,0.290593224267966,"Early",0.11,0.03125
"TNF","TNF",0.173128921754634,0.570216860741965,"Early",0.08,2.48210717032439e-08
"ANGPT","ANGPT",0.240143717534023,0.701007769987581,"Early",0.03,1.14534011850669e-12
"CALCR","CALCR",0.000487996682151045,0.131144067583442,"Early",0,0
"LAIR1","LAIR1",0.00102766345791294,0.145338960473799,"Early",0,0
"LIGHT","LIGHT",0.0023305385211641,0.164971422714902,"Early",0,0
"NRXN","NRXN",0.00290484738109753,0.171192587044515,"Early",0,0
"VEGF","VEGF",0.00418579626064378,0.182613102371849,"Early",0,0
"CSF3","CSF3",0.00511825152078911,0.189575529840859,"Early",0,0
"VWF","VWF",0.00550910775887427,0.192257683120277,"Early",0,0
"CD137","CD137",0.0072634313253199,0.203049687421086,"Early",0,0
"IL2","IL2",0.0183622530242523,0.250158964290647,"Early",0,0
"IFN-II","IFN-II",0.0310790043021734,0.288082920723614,"Early",0,0
"BST2","BST2",0.0644413625356671,0.364697357548093,"Early",0,0
"CD39","CD39",0.117432010073006,0.466876130522825,"Early",0,0
"CD80","CD80",0.121483442460765,0.474388409815272,"Early",0,0
"RANKL1","RANKL",0.0135433438803897,0.232457583850257,"Late",Inf,0
"NT1","NT",0.0049363963884977,0.188284214698521,"Late",Inf,0
"VCAM1","VCAM",0.166146173276161,0.557138039241203,"Late",7.33,0.0001220703125
"BMP1","BMP",0.0597089652286487,0.354827216895239,"Late",5.39,0.13525390625
"NCAM1","NCAM",0.128493859772194,0.487359322349706,"Late",2.83,7.45058059692384e-09
"PERIOSTIN1","PERIOSTIN",0.0351393974530454,0.298647216799315,"Late",2.42,0.000123336911201477
"L1CAM1","L1CAM",0.129043507728508,0.488375285547674,"Late",1.86,7.92001323106177e-06
"NKG2D1","NKG2D",0.0350485911173188,0.298416613741333,"Late",1.82,0.064453125
"SEMA61","SEMA6",0.0969234878182728,0.428479599802342,"Late",1.8,0.000798406819740194
"LCK1","LCK",10.2161172883045,242.859293174992,"Late",1.76,4.82797965044853e-16
"GAS1","GAS",0.29896925367355,0.828215965362438,"Late",1.72,7.32325133867563e-08
"KIT1","KIT",0.957925907522168,23.2640132774469,"Late",1.69,1.92474912355496e-07
"MHC-I1","MHC-I",259.224991726176,252.609118813404,"Late",1.49,1.47212006699312e-25
"PDL21","PDL2",0.270499862735009,0.764827897332211,"Late",1.47,0.00103816948831081
"ANGPTL1","ANGPTL",1.11270833182579,188.79207827107,"Late",1.46,4.53242135044333e-12
"SEMA31","SEMA3",0.030816945172966,0.287381874684523,"Late",1.43,0.000789642333984375
"FN11","FN1",3.23642362208352,218.041555186306,"Late",1.38,0.0489540519454364
"CDH11","CDH1",5.49228020483796,233.10946753658,"Late",1.36,1.21374332322459e-18
"THY11","THY1",4.29967489291458,225.132337468788,"Late",1.32,0.000314483907950423
"OCLN1","OCLN",0.0672504108976932,0.370462004762492,"Late",1.3,0.00135794008828766
"CDH2","CDH",4.97149082045493,230.450424180649,"Late",1.28,3.04946646421368e-05
"SPP11","SPP1",47.9560158274558,250.836423242783,"Late",1.27,6.65975433870629e-21
"FGF1","FGF",0.0735676239342101,0.38320779719757,"Late",1.26,0.242161068789269
"TIGIT1","TIGIT",1.23895788023139,201.200947265413,"Late",1.26,1.35704135698052e-05
"SEMA51","SEMA5",0.0438497014412256,0.319796622771692,"Late",1.25,0.0601435957360083
"TENASCIN1","TENASCIN",9.19088058433219,241.972945389681,"Late",1.24,5.81060795678842e-11
"OSM1","OSM",0.0103188643978648,0.218637463555731,"Late",1.22,0.15625
"CADM1","CADM",0.290218656731396,0.808328596636891,"Late",1.22,0.138267019630771
"MPZ1","MPZ",1.06770381455592,187.01938270045,"Late",1.21,1.45982363831982e-09
"ncWNT1","ncWNT",0.91882367006495,11.8118076798377,"Late",1.15,0.00482025217967319
"CLEC1","CLEC",1.01517019903682,185.246687129829,"Late",1.14,0.00931303520389717
"APRIL1","APRIL",0.0478163547792062,0.328905438623965,"Late",1.13,0.369401322677732
"CD861","CD86",0.397568150027911,1.08414139191894,"Late",1.12,0.369216918945313
"PARs1","PARs",1.28280046003844,204.746338406654,"Late",1.11,0.651148299686611
"EPHA1","EPHA",1.26072478266158,202.973642836033,"Late",1.1,0.00209570810585547
"HSPG1","HSPG",0.130906775410091,0.491818634586996,"Late",1.09,0.119450366124511
"JAM1","JAM",4.81121768124519,229.564076395339,"Late",1.09,1.24410591253652e-05
"PROS1","PROS",0.13826262009366,0.505407772658405,"Late",1.06,0.521673202514648
"AGRN1","AGRN",1.1941972989144,197.655556124172,"Late",1.06,0.00379334882500344
"NECTIN1","NECTIN",2.13865148597644,213.609816259755,"Late",1.05,0.704075791389086
"COLLAGEN1","COLLAGEN",47.5181408792376,249.950075457473,"Late",1.04,0.316878101687102
"PVR1","PVR",0.296924978166262,0.823536155461741,"Late",1.02,0.473765462029882
"GALECTIN1","GALECTIN",29.5133389646406,245.518336530922,"Late",1.01,0.0395650340698343
"TRAIL1","TRAIL",0.0824350547331483,0.400682039201885,"Late",1,0.0390659999436092
"SELL1","SELL",0.37505283873826,1.01969192371319,"Late",1,0.479392677626955
"LT1","LT",0.188755266980714,0.599770652485514,"Late",0.99,0.984093758719609
"GRN1","GRN",0.729851195503235,3.17546400363324,"Late",0.99,0.789427162145522
"CD2001","CD200",1.10686460746546,187.90573048576,"Late",0.98,0.727535552758264
"ACTIVIN1","ACTIVIN",0.154192474050606,0.534887037409157,"Late",0.97,0.976410360440696
"SELPLG1","SELPLG",4.40482620927811,226.905033039408,"Late",0.97,0.441565238029565
"ALCAM1","ALCAM",1.18247668574899,195.882860553552,"Late",0.96,0.39480394707725
"CD61","CD6",1.18247668574899,196.769208338862,"Late",0.96,0.39480394707725
"SEMA41","SEMA4",5.95953670145179,235.76851089251,"Late",0.95,0.212421236914907
"EPHB1","EPHB",0.228058146492782,0.676519197264016,"Late",0.94,0.560489782402783
"VISFATIN1","VISFATIN",0.257025902992285,0.736063515469786,"Late",0.93,0.155502278647021
"CD961","CD96",0.363258564072906,0.987517384698042,"Late",0.93,0.379725714576128
"LAMININ1","LAMININ",43.7307943003454,247.291032101543,"Late",0.93,5.93665530693211e-10
"THBS1","THBS",4.79779731521179,228.677728610029,"Late",0.92,0.00266010628814419
"CX3C1","CX3C",0.083144850548932,0.402063226863878,"Late",0.91,0.067626953125
"WNT1","WNT",1.13312737527992,192.337469412311,"Late",0.9,0.0967707972740757
"EDN1","EDN",0.000155626700010756,0.11405043973732,"Late",0.89,0.875
"CD2261","CD226",0.881444402120944,7.92434777124699,"Late",0.89,0.0238539900017035
"PD-L11","PD-L1",0.490582792051157,1.40417642463884,"Late",0.88,0.37413676913246
"NOTCH1","NOTCH",0.416495976948652,1.14171089563905,"Late",0.87,0.0107349203660037
"CXCL1","CXCL",1.27479022359296,203.859990621343,"Late",0.85,0.0013328568087168
"APP1","APP",6.94914246083991,237.541206463131,"Late",0.84,1.36001939034646e-05
"TGFb1","TGFb",4.19887111500259,223.359641898167,"Late",0.83,2.05047423220314e-08
"BAFF1","BAFF",0.0117242369404964,0.224916368119786,"Late",0.82,0.125
"CD481","CD48",1.6784233753676,210.064425118515,"Late",0.82,0.00346772817318138
"NRG1","NRG",0.352576450884914,0.959243841154327,"Late",0.81,0.0328823981141616
"EGF1","EGF",1.12992081146494,191.451121627001,"Late",0.81,0.030796389473835
"PECAM11","PECAM1",0.195964539203168,0.61356410139028,"Late",0.74,0.486268722407591
"CD521","CD52",1.15613305418001,194.110164982931,"Late",0.74,0.0001220703125
"CSF1","CSF",0.174089604596398,0.572021792880654,"Late",0.69,0.00729560852050781
"ITGAL-ITGB21","ITGAL-ITGB2",2.79224018542719,217.155207400996,"Late",0.66,5.85105927216914e-24
"TWEAK1","TWEAK",0.184964641410181,0.592560778773905,"Late",0.62,0.032201623269266
"DESMOSOME1","DESMOSOME",0.0158428643367787,0.241252423572669,"Late",0.59,3.72529029846192e-08
"CD231","CD23",0.288730579135283,0.804983635777227,"Late",0.59,0.02899169921875
"PTN1","PTN",4.05365782624092,222.473294112857,"Late",0.58,1.18499209858465e-14
"MIF1","MIF",8.17014930536787,240.200249819061,"Late",0.58,6.30754754265953e-26
"CCL1","CCL",1.05567826978106,186.13303491514,"Late",0.57,2.07068021928736e-11
"ICAM1","ICAM",2.17165886734676,214.496164045066,"Late",0.57,6.75091330699607e-29
"ICOS1","ICOS",0.189853401548064,0.601864669879127,"Late",0.47,0.0987396240234375
"COMPLEMENT1","COMPLEMENT",0.199710961047657,0.620777104579446,"Late",0.47,0.00023631751537323
"FASLG1","FASLG",0.0701563525535393,0.37636022421169,"Late",0.45,0.00354371350772959
"CD401","CD40",0.0557903483405355,0.346481810640308,"Late",0.39,0.0078125
"CD221","CD22",0.477593943429985,1.35319023036618,"Late",0.39,0.0001220703125
"MHC-II1","MHC-II",2.20222243709793,215.382511830376,"Late",0.38,5.94716150976606e-08
"LIFR1","LIFR",0.00609377234798565,0.196059672849631,"Late",0.36,9.31918621063234e-05
"CD451","CD45",0.477593943429985,1.35319023036618,"Late",0.36,7.45058059692384e-09
"IL161","IL16",0.39710645532358,1.08277737203916,"Late",0.28,7.9633735166478e-09
"BTLA1","BTLA",0.00353599252703421,0.177155411209715,"Late",0.11,0.03125
"TNF1","TNF",0.0135127588670923,0.232335479013185,"Late",0.08,2.48210717032439e-08
"ANGPT1","ANGPT",0.00632601500237188,0.197508049528334,"Late",0.03,1.14534011850669e-12
"CALCR1","CALCR",0,0,"Late",0,0
"LAIR11","LAIR1",0,0,"Late",0,0
"LIGHT1","LIGHT",0,0,"Late",0,0
"NRXN1","NRXN",0,0,"Late",0,0
"VEGF1","VEGF",0,0,"Late",0,0
"CSF31","CSF3",0,0,"Late",0,0
"VWF1","VWF",0,0,"Late",0,0
"CD1371","CD137",0,0,"Late",0,0
"IL21","IL2",0,0,"Late",0,0
"IFN-II1","IFN-II",0,0,"Late",0,0
"BST21","BST2",0,0,"Late",0,0
"CD391","CD39",0,0,"Late",0,0
"CD801","CD80",0,0,"Late",0,0
